season,week,home_team,away_team,home_score,away_score
2026,1,PHI,DAL,24,20
2026,1,LAC,KC,27,21
2026,1,ATL,TB,20,23
2026,1,CLE,CIN,16,17
2026,1,IND,MIA,33,8
2026,1,JAX,CAR,26,10
2026,1,NE,LV,13,20
2026,1,NO,ARI,13,20
2026,1,NYJ,PIT,32,34
2026,1,WAS,NYG,21,6
2026,1,DEN,TEN,20,12
2026,1,SEA,SF,13,17
2026,1,GB,DET,27,13
2026,1,LA,HOU,14,9
2026,1,BUF,BAL,41,40
2026,1,CHI,MIN,24,27
2026,2,GB,WAS,27,18
2026,2,BAL,CLE,41,17
2026,2,CIN,JAX,31,27
2026,2,DAL,NYG,40,37
2026,2,DET,CHI,52,21
2026,2,MIA,NE,27,33
2026,2,NO,SF,21,26
2026,2,NYJ,BUF,10,30
2026,2,PIT,SEA,17,31
2026,2,TEN,LA,19,33
2026,2,ARI,CAR,27,22
2026,2,IND,DEN,29,28
2026,2,KC,PHI,17,20
2026,2,MIN,ATL,6,22
2026,2,HOU,TB,19,20
2026,2,LV,LAC,9,20
2026,3,BUF,MIA,31,21
2026,3,CAR,ATL,30,0
2026,3,CLE,GB,13,10
2026,3,JAX,HOU,17,10
2026,3,MIN,CIN,48,10
2026,3,NE,PIT,14,21
2026,3,PHI,LA,33,26
2026,3,TB,NYJ,29,27
2026,3,TEN,IND,20,41
2026,3,WAS,LV,41,24
2026,3,LAC,DEN,23,20
2026,3,SEA,NO,44,13
2026,3,CHI,DAL,31,14
2026,3,SF,ARI,16,15
2026,3,NYG,KC,9,22
2026,3,BAL,DET,30,38
2026,4,ARI,SEA,20,23
2026,4,PIT,MIN,24,21
2026,4,ATL,WAS,34,27
2026,4,BUF,NO,31,19
2026,4,DET,CLE,34,10
2026,4,HOU,TEN,26,0
2026,4,NE,CAR,42,13
2026,4,NYG,LAC,21,18
2026,4,TB,PHI,25,31
2026,4,LA,IND,27,20
2026,4,SF,JAX,21,26
2026,4,KC,BAL,37,20
2026,4,LV,CHI,24,25
2026,4,DAL,GB,40,40
2026,4,MIA,NYJ,27,21
2026,4,DEN,CIN,28,3
